title,description,category,difficulty,tags
"Talk about your first job","Share memories about your early career experiences, colleagues, and what you learned.",career,easy,"work,career,youth"
"Describe your childhood home","Paint a picture of where you grew up, the rooms, the neighborhood, and special memories.",childhood,easy,"home,family,nostalgia"
"Share a family tradition","Tell us about a special tradition your family had and why it was meaningful.",traditions_culture,easy,"family,traditions,culture"
"Your most memorable vacation","Recall a trip that left a lasting impression and the adventures you had.",travel_adventure,easy,"travel,vacation,adventure"
"A person who influenced you","Describe someone who made a significant impact on your life and how they changed you.",life_lessons,medium,"influence,mentor,growth"
"Your wedding day","Share the joy, excitement, and special moments from one of life's biggest celebrations.",love_relationships,easy,"wedding,love,celebration"
"A challenge you overcame","Tell the story of a difficult time and how you found the strength to get through it.",challenges_triumphs,medium,"resilience,challenge,growth"
"Your proudest achievement","Reflect on an accomplishment that filled you with pride and satisfaction.",challenges_triumphs,easy,"achievement,pride,success"
"Tell me about your parents","Share memories of your mother and father, what they were like, and what you learned from them.",family,easy,"parents,family,childhood"
"Your first day of school","Remember your very first day of school - how did you feel, what do you remember?",childhood,easy,"school,education,youth"
"A favorite family meal","Describe a meal that brings back warm memories - who made it, when did you eat it?",family,easy,"food,family,tradition"
"Coming to America","Tell the story of how you came to this country - why you came, what it was like.",immigration_heritage,medium,"immigration,journey,heritage"
"Your hometown in China","Paint a picture of the place you grew up - the streets, the people, the culture.",immigration_heritage,easy,"hometown,china,heritage"
"Learning English","Share your experience of learning English - the challenges, the breakthroughs.",immigration_heritage,medium,"language,learning,adaptation"
"First job in America","What was your first job when you arrived in America? What surprised you?",career,medium,"work,immigration,adaptation"
"Cultural differences you noticed","What surprised you most about American culture compared to Chinese culture?",immigration_heritage,medium,"culture,adaptation,differences"
"Traditional Chinese holidays","Tell me about how you celebrated Spring Festival, Mid-Autumn Festival, or other holidays growing up.",traditions_culture,easy,"holidays,chinese,traditions"
"Your grandparents' stories","What stories did your grandparents tell you about their lives?",family,medium,"grandparents,family,history"
"Life during difficult times","Share memories of living through challenging historical periods.",war_service,deep,"history,resilience,survival"
"Your favorite childhood game","What games did you play as a child? Who did you play with?",childhood,easy,"play,games,childhood"
"First time seeing snow","If you grew up in southern China, what was it like to see snow for the first time?",immigration_heritage,easy,"weather,first,wonder"
"Your first car","Tell the story of your first car - how you got it, where you drove it.",daily_life,easy,"car,transportation,independence"
"Learning to cook","Who taught you to cook? What was the first dish you mastered?",daily_life,easy,"cooking,learning,family"
"Your first apartment","Describe your first place living on your own - what was it like?",daily_life,medium,"home,independence,youth"
"Meeting your spouse","How did you meet your husband or wife? What attracted you to them?",love_relationships,easy,"love,meeting,romance"
"Your proposal story","How did you or your spouse propose? What made it special?",love_relationships,easy,"proposal,love,romance"
"Raising children","What was the hardest and best part of raising your kids?",family,medium,"parenting,children,family"
"Your children's childhood","Share a favorite memory from when your kids were young.",family,easy,"children,parenting,memories"
"Family celebrations","What's your favorite family celebration or gathering you remember?",family,easy,"celebration,family,joy"
"Sunday dinners","Tell me about family dinners growing up - who was there, what did you eat?",family,easy,"food,family,tradition"
"Your mother's wisdom","What's the best advice your mother gave you?",life_lessons,easy,"mother,advice,wisdom"
"Your father's lessons","What important life lessons did your father teach you?",life_lessons,easy,"father,lessons,wisdom"
"A time you helped someone","Tell about a time you helped someone in need - what happened?",life_lessons,medium,"kindness,helping,compassion"
"A time someone helped you","Share a memory of when someone's kindness made a difference in your life.",life_lessons,medium,"gratitude,kindness,help"
"Your first boss","What was your first boss like? What did you learn from them?",career,medium,"work,boss,learning"
"Career turning point","Describe a moment that changed the direction of your career.",career,medium,"career,change,decision"
"Work you're proud of","What work achievement are you most proud of?",career,medium,"achievement,work,pride"
"Retirement transition","What was it like to retire? How did you adjust?",daily_life,medium,"retirement,transition,change"
"Favorite hobby","Tell me about a hobby that brings you joy - how did you start it?",daily_life,easy,"hobbies,interests,joy"
"A book that changed you","Is there a book that had a big impact on your life? Why?",life_lessons,medium,"books,reading,influence"
"Music you love","What music do you love? What memories does it bring back?",daily_life,easy,"music,memories,culture"
"Dancing memories","Do you remember learning to dance or dancing at special occasions?",daily_life,easy,"dancing,celebration,youth"
"Fashion through the years","How has fashion changed since you were young? What did you wear?",daily_life,easy,"fashion,culture,change"
"Technology changes","What technology change has amazed you most in your lifetime?",daily_life,medium,"technology,change,wonder"
"Writing letters","Do you remember writing letters before phones? Who did you write to?",daily_life,easy,"letters,communication,nostalgia"
"Black and white TV","What do you remember about early television? What shows did you watch?",daily_life,easy,"television,entertainment,nostalgia"
"Going to the movies","Share memories of going to movie theaters when you were young.",daily_life,easy,"movies,entertainment,youth"
"Your school days","What was school like when you were growing up?",childhood,easy,"school,education,youth"
"Favorite teacher","Who was your favorite teacher and why?",childhood,easy,"teacher,education,influence"
"School friends","Tell me about your closest friends from school days.",childhood,easy,"friends,school,youth"
"After school activities","What did you do after school? Any clubs or activities?",childhood,easy,"activities,school,youth"
"Summer vacations","What did you do during summer break as a kid?",childhood,easy,"summer,vacation,childhood"
"Favorite subject","What was your favorite subject in school and why?",childhood,easy,"school,learning,interests"
